strategy,pair,direction,entry_mode,tr_n,te_n,tr_mean,te_mean,tr_iid_lo,te_iid_lo,tr_nw_lo,te_nw_lo,lr_tr_lo,lr_te_lo,iid_pass,nw_pass,te_nw_pass
stoch,CAD_CHF,short,mid,1175,504,0.04935610612510801,0.055696586591347484,0.010096924968317038,-0.003921292630963059,-0.011907071708065084,-0.0471851969733748,-0.06007090892558539,-0.05783950699035137,False,False,False
stoch,CHF_JPY,long,mid,1234,529,-0.0021854392579299838,0.07591579957397127,-0.041302080285602394,0.018384575850411283,-0.06685853936315644,-0.01427977626452498,-0.05531399803508049,-0.018062401969824518,False,False,False
stoch,EUR_GBP,long,mid,1339,575,0.05244954796991015,0.01790954292941349,0.016270688434765986,-0.03420523649941006,-0.015122652896857616,-0.10993367391000536,-0.0695142064357274,-0.10401683037733124,False,False,False
stoch,USD_JPY,long,mid,1314,564,-0.020194904417607143,0.04133139394591126,-0.058492599800489244,-0.01569750088914936,-0.08504160352794642,-0.03475489081631199,-0.07321601193829011,-0.0894584720050062,False,False,False
bb,AUD_CAD,short,mid,154,66,0.09837495647535517,0.12985898708911056,-0.0065563352558337396,-0.02280570925753625,-0.02467313854393617,-0.043851473416149644,-0.05423090069033784,-0.05366128565337819,False,False,False
bb,CAD_CHF,short,mid,741,318,0.043839178461205365,0.07274796698604163,-0.005821378366235898,-0.0014116422765024506,-0.023898003545802633,-0.03182119640992108,-0.09033624756744252,-0.05369190811344866,False,False,False
bb,CHF_JPY,long,mid,206,89,0.04954095900322986,0.13807495396673836,-0.043591428816180104,0.005525705938933506,-0.07010325682520921,-0.034120795153772976,-0.008763000493942671,-0.20905053303921134,False,False,False
bb,EUR_CAD,long,mid,207,89,0.11717684612758193,0.045370339397901825,0.029402158595881328,-0.09435813790540604,0.011213193446783731,-0.14288796633783118,-0.07148837773411984,-0.14498149878681077,False,False,False
bb,USD_JPY,long,mid,238,103,0.026699811409437158,0.12135922330096251,-0.06197530269819257,-0.005097538449948383,-0.0816203999678896,-0.006491316737196121,-0.07338790008946594,-0.07230306555750082,False,False,False
macd,AUD_JPY,long,limit,140,61,0.09285714285713441,0.08196721311474729,-0.01803576679028962,-0.08820657604365233,-0.030127856228118935,-0.10122422519307721,-0.02954921379451969,-0.12884720804084865,False,False,False
macd,CAD_CHF,short,limit,228,98,0.14895731572098556,0.14795918367346966,0.06657201071196532,0.021447703407150492,0.06629115492720432,0.0030684825042856245,0.01086636173935035,-0.09609167828904291,True,True,True
