symbol,issue
AMZN,SPIKE: 1 days with >50% move
NFLX,SPIKE: 1 days with >50% move
ABVEW,SPIKE: 5 days with >50% move
ACET,SPIKE: 1 days with >50% move
ACONW,SPIKE: 2 days with >50% move
ACXP,SPIKE: 1 days with >50% move
ADACU,GAPS: Missing 2 business days (10.5% of range)
ADALW,SPIKE: 13 days with >50% move
ADGM,SPIKE: 2 days with >50% move
ADIL,SPIKE: 9 days with >50% move
ADOCR,SPIKE: 14 days with >50% move
ADSEW,SPIKE: 1 days with >50% move
ADT,SPIKE: 1 days with >50% move
ADTN,SPIKE: 1 days with >50% move
ADTX,SPIKE: 13 days with >50% move
ADV,GAPS: Missing 631 business days (25.9% of range)
ADXN,SPIKE: 8 days with >50% move
AEHA,ZERO_PRICE: 1 days with 0.0 price
AEHA,SPIKE: 16 days with >50% move
AEHL,SPIKE: 2 days with >50% move
AEI,SPIKE: 1 days with >50% move
AEMD,SPIKE: 2 days with >50% move
AENTW,SPIKE: 1 days with >50% move
AERT,SPIKE: 4 days with >50% move
AEVAW,SPIKE: 15 days with >50% move
AFJK,SPIKE: 5 days with >50% move
AFJKU,SPIKE: 3 days with >50% move
AFMD,SPIKE: 2 days with >50% move
AGAE,SPIKE: 1 days with >50% move
AGIO,SPIKE: 1 days with >50% move
AGMH,SPIKE: 1 days with >50% move
AGPU,SPIKE: 2 days with >50% move
AGTC,SPIKE: 1 days with >50% move
AHMA,SPIKE: 2 days with >50% move
AIHS,SPIKE: 1 days with >50% move
AIIOW,SPIKE: 4 days with >50% move
AIRE,SPIKE: 2 days with >50% move
AIXC,SPIKE: 1 days with >50% move
AKAN,SPIKE: 2 days with >50% move
AKUS,SPIKE: 1 days with >50% move
AKUS,GAPS: Missing 24 business days (19.4% of range)
ALCYW,SPIKE: 1 days with >50% move
ALDFW,SPIKE: 1 days with >50% move
ALLR,SPIKE: 1 days with >50% move
ALMS,SPIKE: 1 days with >50% move
ALNT,SPIKE: 3 days with >50% move
ALORW,SPIKE: 1 days with >50% move
ALPS,SPIKE: 1 days with >50% move
ALPS,GAPS: Missing 601 business days (85.7% of range)
ALTIW,SPIKE: 1 days with >50% move
AMAOW,SPIKE: 4 days with >50% move
