Indicator,TotalTrades,WinRate,AvgPnL,TotalPnL
trend:stochastic,2,0.00%,0.00%,0.00%
trend:ichimoku,17,70.59%,1.72%,29.22%
trend:psar,0,0.00%,0.00%,0.00%
trend:heiken_ashi,8,100.00%,1.71%,13.70%
trend:adx,7,100.00%,3.27%,22.90%
trend:donchian,9,66.67%,1.01%,9.11%
trend:supertrend,14,35.71%,-0.55%,-7.73%
volume:obv,7,42.86%,-0.68%,-4.76%
volume:cmf,8,50.00%,6.75%,53.96%
volume:atr_band,0,0.00%,0.00%,0.00%
volume:atr_spike,0,0.00%,0.00%,0.00%
volume:avg_volume,20,55.00%,2.66%,53.28%
volume:mfi,4,50.00%,1.35%,5.41%
momentum:macd,8,75.00%,3.31%,26.50%
momentum:roc,7,57.14%,0.63%,4.41%
momentum:rsi,0,0.00%,0.00%,0.00%
momentum:bb_position,6,66.67%,0.67%,4.02%
momentum:williams_r,6,83.33%,1.74%,10.46%
momentum:cci,1,100.00%,6.22%,6.22%
moving_average:ma_score,13,76.92%,1.95%,25.33%
moving_average:crossovers,8,37.50%,0.35%,2.82%
candlestick:soldiers,1,0.00%,-5.35%,-5.35%
candlestick:methods,0,0.00%,0.00%,0.00%
candlestick:marubozu,3,100.00%,1.07%,3.20%
candlestick:belt_hold,1,100.00%,5.14%,5.14%
limit:pivot,7,14.29%,-3.17%,-22.17%
limit:52_week,6,50.00%,0.50%,2.98%
