date,symbol,strategy,score,ml_prob,entry,stop_loss,take_profit,exit_price,exit_date,days_held,status,outcome,profit_loss
2025-12-10,ZEUS,baseline,8.0,0.3134129962092453,40.49246317544016,,,44.374210306998044,2025-12-18 00:00:00,3,success,WIN,9.59
2025-12-10,SMLF,baseline,8.0,0.7690267015034074,76.28240974043088,,,74.66,2025-12-17 00:00:00,3,closed_loss,LOSS,-2.13
2025-12-10,SPYM,baseline,8.0,0.7690267015034074,80.3843,,,79.6365,2025-12-16 00:00:00,3,closed_loss,LOSS,-0.93
2025-12-10,ITOT,baseline,8.0,0.7690267015034074,149.3583,,,147.82,2025-12-16 00:00:00,3,closed_loss,LOSS,-1.03
2025-12-10,MGC,baseline,8.0,0.7690267015034074,251.2645,,,248.8402,2025-12-16 00:00:00,3,closed_loss,LOSS,-0.96
2025-12-10,SMHX,baseline,8.0,0.7690267015034074,40.2556,,,38.204548786580546,2025-12-12 00:00:00,1,stopped_out,LOSS,-5.1
2025-12-10,EWT,baseline,8.0,0.7690267015034074,62.9209,,,61.60272515413689,2025-12-12 00:00:00,1,stopped_out,LOSS,-2.09
2025-12-10,XLI,baseline,8.0,0.7690267015034074,155.13142996789938,,,155.3342,2025-12-19 00:00:00,3,closed_profit,WIN,0.13
2025-12-10,SCCO,baseline,7.0,0.6502485671898119,143.13240972091674,,,141.45,2025-12-17 00:00:00,3,closed_loss,LOSS,-1.18
2025-12-10,PDBC,baseline,7.0,0.7770249420613108,13.1654,,,12.945499189130423,2025-12-16 00:00:00,3,stopped_out,LOSS,-1.67
2025-09-06,QQQY,baseline,8.0,0.7690267015034074,,,,,,0,limit_expired,NO_ENTRY,0.0
2025-09-06,IDEV,baseline,8.0,0.7690267015034074,,,,,,0,limit_expired,NO_ENTRY,0.0
2025-09-06,SMLF,baseline,7.0,0.7770249420613108,73.59426634853041,,,74.7171,2025-09-11 00:00:00,3,closed_profit,WIN,1.53
2025-09-06,GLO,baseline,7.0,0.7770249420613108,,,,,,0,limit_expired,NO_ENTRY,0.0
2025-09-06,COMP,baseline,7.0,0.33180835091305183,9.578565972928288,,,9.43,2025-09-11 00:00:00,3,closed_loss,LOSS,-1.55
2025-09-06,MYI,baseline,7.0,0.7770249420613108,,,,,,0,limit_expired,NO_ENTRY,0.0
2025-09-06,CMPR,baseline,7.0,0.31066395813564013,62.376508261521984,,,61.17,2025-09-11 00:00:00,3,closed_loss,LOSS,-1.93
2025-09-06,IBND,baseline,7.0,0.7770249420613108,31.92675113171389,,,32.0317,2025-09-12 00:00:00,3,closed_profit,WIN,0.33
2025-09-06,SCCO,baseline,6.0,0.6560794093696483,100.56989854947358,,,104.6487,2025-09-12 00:00:00,3,closed_profit,WIN,4.06
2025-09-06,SEPT,baseline,6.0,0.7225896041575285,,,,,,0,limit_expired,NO_ENTRY,0.0
2024-05-01,PPL,baseline,8.0,0.8799151094963555,26.369173717334885,,,26.7905,2024-05-07 00:00:00,3,closed_profit,WIN,1.6
2024-05-01,NMIH,baseline,7.0,0.3880393041867206,,,,,,0,limit_expired,NO_ENTRY,0.0
2024-05-01,PCG,baseline,7.0,0.7650673670021437,17.167347670037053,,,17.5479,2024-05-07 00:00:00,3,closed_profit,WIN,2.22
2024-05-01,SCO,baseline,6.0,0.7871406943831056,16.726616094338148,,,16.78,2024-05-07 00:00:00,3,closed_profit,WIN,0.32
2024-05-01,ZETA,baseline,6.0,0.35330546339290264,12.449560163760292,,,15.55,2024-05-07 00:00:00,3,success,WIN,24.9
2024-05-01,WSO,baseline,6.0,0.44821010442130704,,,,,,0,limit_expired,NO_ENTRY,0.0
2024-05-01,CLFD,baseline,6.0,0.3169251166519309,30.583246592252273,,,39.9,2024-05-03 00:00:00,1,success,WIN,30.46
2024-05-01,AEP,baseline,6.0,0.7464169726720076,82.21905389130471,,,84.451,2024-05-07 00:00:00,3,closed_profit,WIN,2.71
2024-05-01,NI,baseline,6.0,0.8985007777236638,,,,,,0,limit_expired,NO_ENTRY,0.0
2024-05-01,SCCO,baseline,5.0,0.6479967297062337,104.92227347773984,,,106.1775,2024-05-07 00:00:00,3,closed_profit,WIN,1.2
2025-05-10,SIL,baseline,8.0,0.7690267015034074,40.9443,,,39.0971,2025-05-15 00:00:00,3,closed_loss,LOSS,-4.51
2025-05-10,EXE,baseline,7.0,0.7369285457584699,108.90589250993345,,,111.8121,2025-05-15 00:00:00,3,closed_profit,WIN,2.67
2025-05-10,UBS,baseline,6.0,0.7234301764682444,,,,,,0,limit_expired,NO_ENTRY,0.0
2025-05-10,AXS,baseline,6.0,0.4197935519295356,99.01546643254778,,,99.7833,2025-05-15 00:00:00,3,closed_profit,WIN,0.78
2025-05-10,RNR,baseline,6.0,0.5684067153806808,248.37558847753735,,,241.9185,2025-05-15 00:00:00,3,closed_loss,LOSS,-2.6
2025-05-10,LNSR,baseline,6.0,0.4259216364272324,13.811425019774076,,,14.115,2025-05-15 00:00:00,3,closed_profit,WIN,2.2
2025-05-10,SCCO,baseline,5.0,0.6467644055631859,,,,,,0,limit_expired,NO_ENTRY,0.0
2025-05-10,CWAN,baseline,5.0,0.357302485326343,,,,,,0,limit_expired,NO_ENTRY,0.0
2025-05-10,MYD,baseline,5.0,0.7345215182916616,9.7945,,,9.7987,2025-05-16 00:00:00,3,closed_profit,WIN,0.04
