indicator,weight,total_trades,wins,losses,timeouts,win_rate,sharpe_ratio,total_pnl,avg_win,avg_loss,beats_baseline
TTM,0.5,98,58,40,0,0.5918367346938775,0.751050466472566,47.26,2.3301724137931035,-2.19725,True
TTM,1.0,84,51,33,0,0.6071428571428571,0.35553732322580756,6.710000000000003,1.0909803921568628,-1.4827272727272727,True
TTM,1.5,78,40,38,0,0.5128205128205128,-0.05181310350781515,-1.7400000000000024,1.8877499999999998,-2.0328947368421053,False
TTM,2.0,84,44,40,0,0.5238095238095238,1.4714110644063894,117.65999999999998,4.193409090909092,-1.67125,True
AROON,0.5,152,74,78,0,0.4868421052631579,0.08027790070498135,5.3799999999999955,2.1724324324324327,-1.992051282051282,False
AROON,1.0,152,89,63,0,0.5855263157894737,0.515510626080745,45.329999999999984,2.3415730337078653,-2.5884126984126983,True
AROON,1.5,98,41,57,0,0.41836734693877553,-0.7374925263411459,-39.2,1.923170731707317,-2.0710526315789473,False
AROON,2.0,157,67,90,0,0.4267515923566879,-0.534834132506506,-42.42,2.2519402985074626,-2.147777777777778,False
KELTNER,0.5,123,76,47,0,0.6178861788617886,1.3159878288020967,109.96000000000001,2.3492105263157894,-1.4591489361702128,True
KELTNER,1.0,144,73,71,0,0.5069444444444444,0.18310550227207653,14.59,2.6052054794520547,-2.473098591549296,False
KELTNER,1.5,183,121,62,0,0.6612021857923497,1.529131047920359,148.34,2.3797520661157026,-2.251774193548387,True
KELTNER,2.0,220,117,103,0,0.5318181818181819,0.437533267018784,39.28,1.9947863247863247,-1.8845631067961164,True
FORCE,0.5,169,79,90,0,0.46745562130177515,-0.5663179608915603,-49.38,2.0565822784810126,-2.3538888888888887,False
FORCE,1.0,192,93,99,0,0.484375,-0.7443449633166148,-53.150000000000006,1.6002150537634408,-2.0401010101010097,False
FORCE,1.5,191,97,94,0,0.5078534031413613,0.39013201549508814,40.58000000000001,2.6832989690721645,-2.3372340425531912,True
FORCE,2.0,189,99,90,0,0.5238095238095238,0.2772883440574124,36.219999999999985,2.466464646464646,-2.3106666666666666,False
AD,0.5,228,113,115,0,0.4956140350877193,0.7805383147163613,57.48,1.95141592920354,-1.4176521739130434,True
AD,1.0,262,143,119,0,0.5458015267175572,0.9722135405035914,102.74000000000001,2.486293706293707,-2.12436974789916,True
AD,1.5,195,93,102,0,0.47692307692307695,-0.2873493423996551,-27.139999999999993,2.193010752688172,-2.2655882352941177,False
AD,2.0,230,124,106,0,0.5391304347826087,0.34017637505228226,26.63999999999999,2.0001612903225805,-2.088490566037736,True
